Year,Month,State,Location,Activity,Species,Provoked,InjuryLevel,HeadInjury,ArmInjury,LegInjury,TorsoInjury
1993,6,NSW,bay,diving,white shark,0,4,0,0,0,0
1993,6,TAS,island,diving,white shark,0,4,0,0,0,0
1993,2,QLD,other,fishing,bronze whaler shark,1,3,0,1,1,0
1993,1,QLD,island,diving,other,0,2,1,1,0,0
1992,10,NSW,beach,diving,other,0,1,0,0,0,0
1992,10,QLD,beach,surfing,white shark,0,4,0,0,0,0
1992,8,SA,bay,surfing,white shark,0,2,0,0,0,0
1992,3,VIC,other,surfing,bronze whaler shark,0,2,0,1,0,0
1992,1,NSW,other,boarding,bronze whaler shark,0,2,0,0,1,0
1991,11,WA,beach,boarding,other,0,2,0,0,1,0
1991,9,SA,beach,diving,white shark,0,4,0,0,0,0
1991,8,QLD,other,other,other,1,2,1,1,0,0
1991,3,NSW,other,diving,other,0,2,0,1,1,0
1991,1,QLD,other,swimming,other,0,2,0,1,1,0
1991,1,WA,other,surfing,other,0,0,0,0,0,0
1991,1,QLD,other,surfing,other,0,0,0,0,0,0
1990,11,QLD,river,swimming,other,0,2,0,1,1,1
1990,10,QLD,other,swimming,other,0,2,0,0,1,0
1990,10,SA,beach,surfing,other,0,2,0,0,1,0
1990,5,QLD,reef,snorkeling,other,0,2,0,0,0,0
1990,5,QLD,reef,snorkeling,other,0,2,0,0,0,0
1990,4,QLD,beach,surfing,tiger shark,0,2,0,0,0,0
1990,4,QLD,reef,diving,other,0,4,0,0,0,0
1990,4,QLD,beach,surfing,other,0,0,0,0,0,0
1990,4,QLD,beach,surfing,other,0,0,0,0,0,0
